date,close,high,low,volume
2020-02-05,2818.09,2842.74,2778.86,309761824.0
2020-02-06,2866.51,2876.59,2807.61,316392128.0
2020-02-07,2875.96,2875.96,2838.77,309479648.0
2020-02-10,2890.49,2891.85,2851.05,294929792.0
2020-02-11,2901.67,2913.82,2882.24,269168320.0
2020-02-12,2926.9,2926.9,2892.42,248733424.0
2020-02-13,2906.07,2935.41,2901.24,274804832.0
2020-02-14,2917.01,2926.94,2899.57,250650624.0
2020-02-17,2983.62,2983.64,2924.99,313198016.0
2020-02-18,2984.97,2990.6,2960.78,311665920.0
2020-02-19,2975.4,2998.27,2971.82,315141152.0
2020-02-20,3030.15,3031.37,2968.45,345732896.0
2020-02-21,3039.67,3058.9,3020.14,364557280.0
2020-02-24,3031.23,3042.18,3007.36,370430048.0
2020-02-25,3013.05,3016.95,2943.72,441622752.0
2020-02-26,2987.93,3028.78,2974.94,469049536.0
2020-02-27,2991.33,3009.46,2980.48,350523648.0
2020-02-28,2880.3,2948.13,2878.54,401216928.0
2020-03-02,2970.93,2982.51,2899.31,367333376.0
2020-03-03,2992.9,3026.84,2976.62,410108032.0
2020-03-04,3011.67,3012.0,2974.36,353338272.0
2020-03-05,3071.68,3074.26,3022.93,445425792.0
2020-03-06,3034.51,3052.44,3029.46,362061536.0
2020-03-09,2943.29,2989.21,2940.71,414560736.0
2020-03-10,2996.76,3000.3,2904.8,393296640.0
2020-03-11,2968.52,3010.03,2968.52,352470976.0
2020-03-12,2923.49,2944.47,2906.28,307778464.0
2020-03-13,2887.43,2910.88,2799.98,366450432.0
2020-03-16,2789.25,2898.04,2784.66,351878656.0
2020-03-17,2779.64,2826.91,2715.22,306149664.0
2020-03-18,2728.76,2815.87,2728.76,291159840.0
2020-03-19,2702.13,2736.82,2646.8,302302752.0
2020-03-20,2745.62,2751.9,2702.49,252019504.0
2020-03-23,2660.17,2703.33,2656.5,249820256.0
2020-03-24,2722.44,2723.41,2667.13,257021936.0
2020-03-25,2781.59,2788.64,2757.8,273144480.0
2020-03-26,2764.91,2788.5,2753.43,234084016.0
2020-03-27,2772.2,2805.55,2771.76,240764064.0
2020-03-30,2747.21,2759.1,2723.05,239706608.0
2020-03-31,2750.3,2771.17,2743.12,218598672.0
2020-04-01,2734.52,2773.36,2731.08,217253424.0
